airport_ident,airport_name,municipality,state,airport_type,airport_distance,airport_lng,airport_lat
6MA8,Acushnet River Seaplane Base,fairhaven,MA,seaplane_base,0.0169107091433,-70.9175033569336,41.647300720214844
6MA8,Acushnet River Seaplane Base,acushnet,MA,seaplane_base,0.0347367201912,-70.9175033569336,41.647300720214844
6MN4,North Center Lake Seaplane Base,lindstrom,MN,seaplane_base,0.0181536325332,-92.83159637451172,45.39720153808594
6N6,Evers Seaplane Base,pelham manor,NY,seaplane_base,0.050309790880199996,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,eastchester,NY,seaplane_base,0.04418894503240001,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,mt. vernon,NY,seaplane_base,0.0698891254196,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,new rochelle,NY,seaplane_base,0.073720888982,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,mount vernon,NY,seaplane_base,0.0698891254196,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,middletown,NY,seaplane_base,0.0166551642136,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,schuylerville,NY,seaplane_base,0.0202709505236,-73.81620025634766,40.84590148925781
6N6,Evers Seaplane Base,bronxville,NY,seaplane_base,0.09360937445710002,-73.81620025634766,40.84590148925781
6N7,New York Skyports Inc Seaplane Base,gardner,NY,seaplane_base,0.0547244046564,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,ridgewood,NY,seaplane_base,0.0642087557117,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,aurora,NY,seaplane_base,0.020077061961299998,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,bedford,NY,seaplane_base,0.022239934440299997,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,maspeth,NY,seaplane_base,0.0612307097623,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,new york city,NY,seaplane_base,0.014118080322799998,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,new york,NY,seaplane_base,0.014118080322799998,-73.9729,40.734001
6N7,New York Skyports Inc Seaplane Base,pjs,NY,seaplane_base,0.0131232373636,-73.9729,40.734001
6NJ7,Greenwood Lake Seaplane Base,greenwood lake,NY,seaplane_base,0.0583443781171,-74.33429718017578,41.18009948730469
6NJ7,Greenwood Lake Seaplane Base,milford/milton,DE,seaplane_base,0.0436517171473,-74.33429718017578,41.18009948730469
6NY6,Firemans White Lake Seaplane Base,bethel,NY,seaplane_base,0.0396886177376,-74.83159637451172,41.68429946899414
70B,Millinocket Seaplane Base,mana,HI,seaplane_base,0.024148047603500002,-68.8444856,45.7283811
71MN,Mattison's Seaplane Base,forest lake,MN,seaplane_base,0.0189453480087,-92.96659851074219,45.28179931640625
74ME,Labrador Landing Seaplane Base,damariscotta,ME,seaplane_base,0.035571861991499996,-69.533522,44.065175
75PN,Beaver Seaplane Base,beaver,PA,seaplane_base,0.0111358011594,-80.31009674072266,40.68560028076172
75PN,Beaver Seaplane Base,beaver,WV,seaplane_base,0.0111358011594,-80.31009674072266,40.68560028076172
75U,Harry S Truman Dam & Reservoir Seaplane Base,fristo,MO,seaplane_base,0.172982954038,-93.41690063476562,38.21670150756836
76B,Long Lake Seaplane Base,naples,ME,seaplane_base,0.00622852846187,-70.60369873046875,43.97090148925781
77ME,Long Pond Seaplane Base,livermore falls,ME,seaplane_base,0.050479424294499996,-70.21620178222656,44.43339920043945
7N3,Sands Point Seaplane Base,larchmont,NY,seaplane_base,0.0970407281414,-73.71620178222656,40.83760070800781
83MN,Ponderosa Seaplane Base,emily,MN,seaplane_base,0.135703121297,-93.9894027709961,46.86309814453125
83MN,Ponderosa Seaplane Base,outing,MN,seaplane_base,0.0593760283868,-93.9894027709961,46.86309814453125
83Q,Port of Poulsbo Marina Moorage Seaplane Base,poulsbo,WA,seaplane_base,0.00927470546228,-122.64700317383,47.734001159668
85B,Shin Pond Seaplane Base,patten,ME,seaplane_base,0.158221987257,-68.56199645996094,46.10419845581055
8IL7,Dutch Creek Seaplane Base,ringwood,IL,seaplane_base,0.054315206494800004,-88.24700164794922,42.37110137939453
8MN0,Lake Zumbro Seaplane Base,zumbrota,MN,seaplane_base,0.20715007105900002,-92.4834976196289,44.20159912109375
8NA1,Deep River Seaplane Base,kramer,CA,seaplane_base,0.101964833583,-100.78299713134766,48.622798919677734
8NK8,Mister Dog Seaplane Base,bolton,NY,seaplane_base,0.0656420220609,-73.6086112,43.565
8Y4,Surfside Seaplane Base,lino lakes,MN,seaplane_base,0.0298758576515,-93.11689758300781,45.150001525878906
8Y4,Surfside Seaplane Base,circle pines,MN,seaplane_base,0.0384797448038,-93.11689758300781,45.150001525878906
92B,Long Lake Seaplane Base,grand isle,ME,seaplane_base,0.13747919856,-68.23139953613281,47.19309997558594
94D,Wells Seaplane Base,ballston lake,NY,seaplane_base,0.0719589014351,-73.90480041503906,42.84980010986328
94D,Wells Seaplane Base,burnt hills/ ballston lake,NY,seaplane_base,0.0607734764525,-73.90480041503906,42.84980010986328
94D,Wells Seaplane Base,burnt hills,NY,seaplane_base,0.0607734764525,-73.90480041503906,42.84980010986328
94D,Wells Seaplane Base,rexford,NY,seaplane_base,0.0172249570896,-73.90480041503906,42.84980010986328
95MN,Whaletail Lake Seaplane Base,st bonifacius,MN,seaplane_base,0.0415630409004,-93.72270202636719,44.938899993896484
98FD,Lake Jessup Seaplane Base,orlando/oviedo,FL,seaplane_base,0.027744982302200002,-81.23310089111328,28.716899871826172
9MN0,Carey Lake Seaplane Base,chisholm,MN,seaplane_base,0.0908141519708,-92.82769775390625,47.41830062866211
9MN0,Carey Lake Seaplane Base,buhl,MN,seaplane_base,0.09019316583289999,-92.82769775390625,47.41830062866211
9N2,Philadelphia Seaplane Base,folcroft,PA,seaplane_base,0.0356396149565,-75.299598693848,39.859001159668
9N2,Philadelphia Seaplane Base,glenolden,PA,seaplane_base,0.042437120334900005,-75.299598693848,39.859001159668
A29,Sitka Seaplane Base,sitka,AK,seaplane_base,0.008390000399710001,-135.3459930419922,57.052101135253906
A29,Sitka Seaplane Base,sitka,OR,seaplane_base,0.008390000399710001,-135.3459930419922,57.052101135253906
AL46,Shoals Creek Seaplane Base,killen,AL,seaplane_base,0.0636092279795,-87.58719635009766,34.9025993347168
AL58,Lower Delta Seaplane Base,spanish fort,AL,seaplane_base,0.0446021572219,-87.959871,30.675476
B18,Alton Bay Seaplane Base,alton bay,NH,seaplane_base,0.0102106904069,-71.23699951171875,43.47760009765625
CGA,Craig Seaplane Base,catalina island,CA,seaplane_base,0.160198749999,-133.1479949951172,55.47880172729492
CGA,Craig Seaplane Base,craig,MT,seaplane_base,0.0024364288926300003,-133.1479949951172,55.47880172729492
CGA,Craig Seaplane Base,craig,AK,seaplane_base,0.0024364288926300003,-133.1479949951172,55.47880172729492
CN20,Ferndale Resort Seaplane Base,kelseyville,CA,seaplane_base,0.055234241642800004,-122.7969970703125,39.00299835205078
CO28,Suckla Farms Balloonport,ft. lupton,CO,balloonport,0.0832684531914,-104.89199829101562,40.05830001831055
CT87,Bootlegger's Seaplane Base,thompsonville,CT,seaplane_base,0.007058371382729999,-72.60590362548828,41.9984016418457
DE13,Rehoboth Bay Seaplane Base,dewey beach,DE,seaplane_base,0.0139233744994,-75.08709716796875,38.68619918823242
DE13,Rehoboth Bay Seaplane Base,rehoboth beach,DE,seaplane_base,0.0364655157423,-75.08709716796875,38.68619918823242
E61,Conchas Lake Seaplane Base,conchas dam,NM,seaplane_base,0.0314995080258,-104.21600341796875,35.38420104980469
FA05,Holiday Isle Seaplane Base,islamorada,FL,seaplane_base,0.0289521936446,-80.60089874267578,24.934900283813477
FA07,Orlando Seaplane Base,montverde,FL,seaplane_base,0.0405572549837,-81.639167,28.621111
FA78,Robinestte Seaplane Base,narcoossee,FL,seaplane_base,0.0363728121324,-81.25,28.333
FD46,Goddard Seadrome Seaplane Base,babson park,FL,seaplane_base,0.0825025037994,-81.51399993896484,27.755300521850586
FD46,Goddard Seadrome Seaplane Base,florida,FL,seaplane_base,0.0500379240686,-81.51399993896484,27.755300521850586
FD46,Goddard Seadrome Seaplane Base,,FL,seaplane_base,0.0500379240686,-81.51399993896484,27.755300521850586
FD69,Lake Apopka South Seaplane Base,winter garden,FL,seaplane_base,0.0233220986709,-81.5949445,28.5734722
FD98,Ferguson Seaplane Base,winter springs,FL,seaplane_base,0.028210517492900003,-81.27010345458984,28.71470069885254
FD98,Ferguson Seaplane Base,longwood/winter springs,FL,seaplane_base,0.035277961718,-81.27010345458984,28.71470069885254
FL26,Kitching Cove Seaplane Base,port saint lucie,FL,seaplane_base,0.0552732818246,-80.31639862060547,27.25029945373535
FL26,Kitching Cove Seaplane Base,port st. lucie,FL,seaplane_base,0.0552732818246,-80.31639862060547,27.25029945373535
FL26,Kitching Cove Seaplane Base,port st lucie,FL,seaplane_base,0.0552732818246,-80.31639862060547,27.25029945373535
FL55,Sanford Seaplane Base,sanford,FL,seaplane_base,0.012050888296100001,-81.26329803466797,28.822799682617188
FL55,Sanford Seaplane Base,sanford,MI,seaplane_base,0.012050888296100001,-81.26329803466797,28.822799682617188
H11,Sunbury Seaplane Base,northumberland,PA,seaplane_base,0.07497103016619999,-76.73300170898438,40.91310119628906
HL2,Hubbard Landing Seaplane Base,stockton,AL,seaplane_base,0.070833705738,-87.87,31.063611
HYL,Hollis Clark Bay Seaplane Base,prince of wales island,AK,seaplane_base,0.20777101186299998,-132.645996094,55.4816017151
I04,Quad-City Seaplane Base,poplar grove,IL,seaplane_base,0.0364423157854,-90.4928970336914,41.459999084472656
I04,Quad-City Seaplane Base,coal valley,IL,seaplane_base,0.0354752725183,-90.4928970336914,41.459999084472656
IN12,Lake Sylvan Seaplane Base,rome city,IN,seaplane_base,0.0359637571587,-85.343611,41.481944
IN16,Tippecanoe Seaplane Base,north webster,IN,seaplane_base,0.07013244780439999,-85.7675,41.333056
IN59,Jerry W. Humphrey Seaplane Base,newburgh,IN,seaplane_base,0.019854152945299998,-87.42449951171875,37.94499969482422
IS23,Turner Seaplane Base,south elgin,IL,seaplane_base,0.015850016557700002,-88.29109954833984,42.0099983215332
JY35,Allen's Seaplane Base,point pleasant,NJ,seaplane_base,0.050726127336900004,-74.05789947509766,40.03350067138672
JY35,Allen's Seaplane Base,point pleasant,WV,seaplane_base,0.050726127336900004,-74.05789947509766,40.03350067138672
JY35,Allen's Seaplane Base,point pleasant beach nj,NJ,seaplane_base,0.0589856714218,-74.05789947509766,40.03350067138672
JY35,Allen's Seaplane Base,brielle,NJ,seaplane_base,0.0744051009329,-74.05789947509766,40.03350067138672
K03,Long Lake Sagamore Seaplane Base & Marina,horseshoe lake,NY,seaplane_base,0.254468569486,-74.428772,43.968951
K79J,South Alabama Regional At Bill Benton Field Airport,carolina,WV,medium_airport,0.15024183171,-86.393799,31.3088
K79J,South Alabama Regional At Bill Benton Field Airport,covington,LA,medium_airport,0.130178108321,-86.393799,31.3088
KABY,Southwest Georgia Regional Airport,baconton,GA,medium_airport,0.159432966002,-84.19450378417969,31.535499572753906
KACK,Nantucket Memorial Airport,nantucket,MA,medium_airport,0.0149989422389,-70.06020355,41.25310135
KACV,California Redwood Coast-Humboldt County Airport,mckinleyville,CA,medium_airport,0.0135970627881,-124.109,40.978101
KACV,California Redwood Coast-Humboldt County Airport,trinidad,CA,medium_airport,0.0880700387476,-124.109,40.978101
KADW,Andrews Air Force Base,westphalia,IN,large_airport,0.0345003963484,-76.866997,38.810799
KADW,Andrews Air Force Base,upper marlboro,MD,large_airport,0.11516425677000001,-76.866997,38.810799
KADW,Andrews Air Force Base,marlboro,MD,large_airport,0.11516425677000001,-76.866997,38.810799
KADW,Andrews Air Force Base,camp springs,MD,large_airport,0.0402209575775,-76.866997,38.810799
KADW,Andrews Air Force Base,forestville,CA,large_airport,0.0352286995765,-76.866997,38.810799
KADW,Andrews Air Force Base,suitland,MD,large_airport,0.06835196204390001,-76.866997,38.810799
KADW,Andrews Air Force Base,andrews afb,MD,large_airport,0.0116056708572,-76.866997,38.810799
KADW,Andrews Air Force Base,marlton,NJ,large_airport,0.08532424332,-76.866997,38.810799
KADW,Andrews Air Force Base,district heights,MD,large_airport,0.0519056139011,-76.866997,38.810799
KAFW,Fort Worth Alliance Airport,haslet,TX,large_airport,0.0316739687378,-97.31880187990001,32.9875984192
KAGC,Allegheny County Airport,mckeesport,PA,medium_airport,0.06630831123730001,-79.9301986694336,40.354400634765625
KAGC,Allegheny County Airport,port vue,PA,medium_airport,0.0631958019245,-79.9301986694336,40.354400634765625
KAGC,Allegheny County Airport,whitehall,PA,medium_airport,0.0610643867797,-79.9301986694336,40.354400634765625
KAGC,Allegheny County Airport,whitehall,MT,medium_airport,0.0610643867797,-79.9301986694336,40.354400634765625
KALB,Albany International Airport,hunting,NY,medium_airport,0.0360402394449,-73.80169677734375,42.74829864501953
KALB,Albany International Airport,latham/watervliet,NY,medium_airport,0.025953531411900002,-73.80169677734375,42.74829864501953
KALM,Alamogordo White Sands Regional Airport,bosque,NM,medium_airport,0.0342388895386,-105.990997314,32.8399009705
KALN,St Louis Regional Airport,cottage hills,IL,medium_airport,0.027296773690299998,-90.0459976196,38.89030075069999
KALN,St Louis Regional Airport,dorsey,IL,medium_airport,0.0944932502693,-90.0459976196,38.89030075069999
KALS,San Luis Valley Regional Bergman Field,mogote,CO,medium_airport,0.43794653141,-105.866997,37.434898
KALS,San Luis Valley Regional Bergman Field,alamosa,CO,medium_airport,0.035075785610699996,-105.866997,37.434898
KALS,San Luis Valley Regional Bergman Field,antonito,CO,medium_airport,0.382879530832,-105.866997,37.434898
KALW,Walla Walla Regional Airport,walla walla airport,WA,medium_airport,0.0085438682545,-118.288002,46.09489822
KANB,Anniston Metropolitan Airport,cheaha mountain,AL,medium_airport,0.11381674041300001,-85.85810089,33.58819962
KAOO,Altoona Blair County Airport,martinsburg,WV,medium_airport,0.0153686767564,-78.31999969,40.29639816
KAPG,Phillips Army Air Field,aberdeen,MD,medium_airport,0.0436055024171,-76.1688,39.466202
KART,Watertown International Airport,dexter,OR,medium_airport,0.0277118151636,-76.02169799804688,43.99190139770508
KART,Watertown International Airport,jefferson,NY,medium_airport,0.07094728269339999,-76.02169799804688,43.99190139770508
KART,Watertown International Airport,dexter,NY,medium_airport,0.0277118151636,-76.02169799804688,43.99190139770508
KATL,Hartsfield Jackson Atlanta International Airport,college park,GA,large_airport,0.027070706738900004,-84.4281005859375,33.63669967651367
KAUG,Augusta State Airport,augusta,K,medium_airport,0.0202843607838,-69.7973022461,44.320598602299995
KAUG,Augusta State Airport,augusta,MT,medium_airport,0.0202843607838,-69.7973022461,44.320598602299995
KAUG,Augusta State Airport,augusta,ME,medium_airport,0.0202843607838,-69.7973022461,44.320598602299995
KAUW,Wausau Downtown Airport,marathon county,WI,medium_airport,0.0316119022035,-89.6266021729,44.9262008667
KAUW,Wausau Downtown Airport,rothschild,WI,medium_airport,0.0395447637354,-89.6266021729,44.9262008667
KAUW,Wausau Downtown Airport,wausau,WI,medium_airport,0.0335558518092,-89.6266021729,44.9262008667
KAVL,Asheville Regional Airport,mills river,NC,large_airport,0.0538939982845,-82.54180145263672,35.43619918823242
KAVP,Wilkes Barre Scranton International Airport,starks,LA,medium_airport,0.0157989342826,-75.72339630130001,41.338500976599995
KAVP,Wilkes Barre Scranton International Airport,moosic,PA,medium_airport,0.0210460318236,-75.72339630130001,41.338500976599995
KAVP,Wilkes Barre Scranton International Airport,avoca,PA,medium_airport,0.012972424514299998,-75.72339630130001,41.338500976599995
KAVP,Wilkes Barre Scranton International Airport,duryea,PA,medium_airport,0.0343190257768,-75.72339630130001,41.338500976599995
KAVP,Wilkes Barre Scranton International Airport,wyoming valley,PA,medium_airport,0.0379033739437,-75.72339630130001,41.338500976599995
KAZO,Kalamazoo Battle Creek International Airport,portage,MI,medium_airport,0.043787804519300005,-85.5521011352539,42.234901428222656
KBAB,Beale Air Force Base,beale afb,CA,large_airport,0.08483309255839999,-121.43699646,39.136100769
KBAD,Barksdale Air Force Base,barksdale afb,LA,large_airport,0.00448464337392,-93.6626968384,32.5018005371
KBAD,Barksdale Air Force Base,bossier city,LA,large_airport,0.0122157788887,-93.6626968384,32.5018005371
KBAF,Westfield-Barnes Regional Airport,westfield,IN,medium_airport,0.0471333373104,-72.715599,42.157799
KBAF,Westfield-Barnes Regional Airport,westfield,NJ,medium_airport,0.0471333373104,-72.715599,42.157799
KBAF,Westfield-Barnes Regional Airport,westfield,MA,medium_airport,0.0471333373104,-72.715599,42.157799
KBAK,Columbus Municipal Airport,clifford,PA,medium_airport,0.0339391637538,-85.8963012695,39.2619018555
KBBD,Curtis Field,brady,MT,medium_airport,0.048783591632500005,-99.3238983154,31.1793003082
KBBD,Curtis Field,brady,TX,medium_airport,0.048783591632500005,-99.3238983154,31.1793003082
KBDL,Bradley International Airport,east windsor,NJ,large_airport,0.005312443314069999,-72.68319702149999,41.9388999939
KBDL,Bradley International Airport,windsor locks,CT,large_airport,0.028315568053599995,-72.68319702149999,41.9388999939
KBDR,Igor I Sikorsky Memorial Airport,stratford,TX,medium_airport,0.0221633612727,-73.1261978149414,41.16350173950195
KBDR,Igor I Sikorsky Memorial Airport,stratford,CT,medium_airport,0.0221633612727,-73.1261978149414,41.16350173950195
