location,latitude,longitude,elevation
"baxter, TN, US",36.153671799999998,-85.643590900000007,316.00000
"scio, NY, US",42.171457300000000,-77.978614699999994,444.00000
"maupin, OR, US",45.175092100000001,-121.081247500000003,331.00000
"atwater village, CA, US",37.347717400000001,-120.609083999999996,50.00000
"bound brook area, NJ, US",50.335839999999997,-57.533023300000004,
"south phoenix, AZ, US",33.406455600000001,-112.072943199999997,325.00000
"port sulphur, LA, US",29.480494700000001,-89.693953100000002,0.00000
"eagle, WI, US",42.879456300000001,-88.474265000000003,289.00000
"troy, KY, US",42.605589299999998,-83.149930400000002,231.00000
"trainer, PA, US",39.827612600000002,-75.414360400000007,18.00000
"wheatfield, IN, US",41.193094000000002,-87.055580500000005,204.00000
"mckenzie bridge, OR, US",44.175123800000001,-122.163947300000004,452.00000
"somers, NY, US",41.328149799999998,-73.685685699999993,93.00000
"browns point, WA, US",47.300925100000001,-122.441469299999994,22.00000
"crozet, VA, US",38.071572000000003,-78.702015205036005,217.00000
"malden bridge, NY, US",42.470637799999999,-73.582892799999996,141.00000
"greenbelt, MD, US",39.004554400000004,-76.875528200000005,54.00000
"fairview, UT, US",39.626351000000000,-111.439632500000002,1809.00000
"oceanside, OR, US",33.195869600000002,-117.379483399999998,31.00000
"ripley, NY, US",42.267001999999998,-79.710601999999994,236.00000
"truth or consequences, NM, US",33.128348500000001,-107.252905900000002,1291.00000
"mount carmel, PA, US",40.797031199999999,-76.411896100000007,338.00000
"swedesboro, NJ, US",39.747613600000001,-75.310465399999998,10.00000
"paramount, CA, US",33.898916999999997,-118.171004999999994,25.00000
"oak forest, IL, US",41.602811600000003,-87.743938400000005,204.00000
"shumway, IL, US",39.185041699999999,-88.652277100000006,199.00000
"beverly, OH, US",39.548017899999998,-81.639377199999998,199.00000
"ewing, NJ, US",38.088660300000001,-88.852287000000004,144.00000
"nashville, TX, US",36.162229600000003,-86.774353099999999,128.00000
"sea girt, NJ, US",40.132059200000000,-74.034581299999999,7.00000
"lizton, IN, US",39.886710899999997,-86.543334500000000,293.00000
"picayune, MS, US",30.525469200000000,-89.679508400000003,22.00000
"waynesburg, OH, US",40.667838799999998,-81.257330699999997,325.00000
"keene, NH, US",32.396809200000000,-97.323904200000001,276.00000
"wellsboro, PA, US",41.748683800000002,-77.300530499999994,418.00000
"brewster, WA, US",41.397333500000002,-73.617191500000004,124.00000
"hermitage, MO, US",37.941421699999999,-93.316309300000000,245.00000
"wooster/mansfield, OH, US",40.767588400000001,-82.401209100000003,321.00000
"providence/warwick, RI, US",41.713709000000001,-71.496596999999994,35.00000
"cedarburg, WI, US",43.296671600000003,-87.987589799999995,243.00000
"lead, SD, US",44.352207000000000,-103.765197999999998,1652.00000
"hegins, PA, US",40.651476099999996,-76.497737299999997,241.00000
"hawesville, KY, US",37.900055399999999,-86.754987999999997,155.00000
"memphis, TX, US",35.149021500000003,-90.051628500000007,82.00000
"pittsburgh/new castle, PA, US",39.648580799999998,-75.777908800000006,47.00000
"kansas city, PA, US",39.084468700000002,-94.563029799999995,265.00000
"tryon, NC, US",35.869782200000003,-96.963917300000006,313.00000
"brighton township, MI, US",42.560642000000001,-83.734042186021497,287.00000
"mount morris, MI, US",43.118637000000000,-83.694958000000000,236.00000
"chaska, MN, US",44.789407199999999,-93.602179100000001,222.00000
"eldon, MO, US",38.348363599999999,-92.581575900000004,290.00000
"mobile, AZ, US",30.694356599999999,-88.043054100000006,10.00000
"east hazelcrest, IL, US",30.178985300000001,-95.547891500000006,59.00000
"perkasie, PA, US",40.372047999999999,-75.292676000000000,110.00000
"grand marais, MN, US",47.750467000000000,-90.334675000000004,199.00000
"porter ranch, CA, US",34.277252799999999,-118.548402042838006,367.00000
"skaneateles, NY, US",42.947011000000003,-76.429101700000004,268.00000
"vernon, CT, US",41.838292099999997,-72.466333100000000,104.00000
"manilla, IA, US",41.889709500000002,-95.232218000000003,416.00000
"toledo-cleveland, OH, US",33.926490800000003,-92.161255299999993,85.00000
"leicester, NC, US",42.772006599999997,-77.896670900000004,197.00000
"roscommon, MI, US",44.332693200000001,-84.616516399999995,351.00000
"davenport, FL, US",28.161404600000001,-81.601741700000005,43.00000
"tess corners, WI, US",42.922237000000003,-88.099532600000003,248.00000
"pacheco, CA, US",37.990188000000003,-122.069750430680003,5.00000
"tullahoma, TN, US",35.362023499999999,-86.209434200000004,322.00000
"owingsville, KY, US",38.144801500000000,-83.764084699999998,294.00000
"hidalgo, TX, US",26.100354700000000,-98.263068399999995,36.00000
"enloe, TX, US",33.432886099999997,-95.657458599999998,149.00000
"crawford, TX, US",41.695117900000000,-80.142896699999994,385.00000
"lake aloha, CA, US",38.866506200000003,-120.138399771560998,2480.00000
"fort morgan, CO, US",40.250258199999998,-103.799950999999993,1322.00000
"newton, NJ, US",41.058152700000001,-74.752665100000002,206.00000
"dale hollow lake, TN, US",36.565468400000000,-85.389390536030803,197.00000
"wind lake, WI, US",42.829460300000001,-88.158699799999994,246.00000
"wisconsin, WI, US",44.430897500000000,-89.688463700000000,322.00000
"raeford, NC, US",34.980999599999997,-79.224199799999994,81.00000
"gardiner, NY, US",41.679815699999999,-74.150423099999998,108.00000
"lincolnton, GA, US",35.473745000000001,-81.254525099999995,258.00000
"fortson, GA, US",32.607082100000000,-84.937154199999995,171.00000
"zelienople, PA, US",40.795762199999999,-80.137079499999999,287.00000
"raritan bay, NJ, US",40.483439799999999,-74.182921199999996,0.00000
"cachuma lake, CA, US",34.418550699999997,-119.863413795705000,11.00000
"rogers, AR, US",36.332019699999996,-94.118536599999999,420.00000
"ravenel, SC, US",32.763232100000003,-80.250098600000001,15.00000
"watauga, TN, US",32.857905600000002,-97.254737100000000,193.00000
"milton, KY, US",38.723671400000001,-85.369401800000006,188.00000
"monroe, MI, US",41.914503699999997,-83.396825199999995,181.00000
"anoka, MN, US",42.946942200000002,-98.830922099999995,506.00000
"buffalo/williamsville, NY, US",42.965011799999999,-78.697224300000002,216.00000
"sebastian inlet, FL, US",27.861017100000002,-80.446244800000002,0.00000
"yarmouth, MA, US",41.705665600000003,-70.228631399999998,7.00000
"waikele, HI, US",21.402398800000000,-158.008588699999990,
"lowman, NY, US",42.029796200000000,-76.720507600000005,256.00000
"needville, TX, US",29.399410100000001,-95.837729699999997,30.00000
"galeton, PA, US",41.733124599999996,-77.641931099999994,487.00000
"salters, SC, US",33.598498300000003,-79.851461200000003,19.00000
"oakland, NE, US",41.835826500000003,-96.466970900000007,390.00000
"mt. morris, NY, US",40.804172100000002,-73.943614100000005,12.00000
"pickett, WI, US",43.911372000000000,-88.729832599999995,268.00000
"newburgh, NY, US",41.503427100000003,-74.010417899999993,54.00000
"ringgold, VA, US",36.608193999999997,-79.295297800000000,185.00000
"mount rainer, MD, US",48.100479100000001,16.285055499999999,
"holopaw, FL, US",28.135849199999999,-81.076175399999997,25.00000
"robinson, TX, US",31.467668700000001,-97.114722599999993,154.00000
"thorp, WI, US",44.961078499999999,-90.799858799999996,374.00000
"eastsound, WA, US",48.696770999999998,-122.905462499999999,19.00000
"brookpark, OH, US",41.419725749999998,-81.823671913975701,241.00000
"mississippi, WV, US",32.971564499999999,-89.734849699999998,107.00000
"swanton, VT, US",41.590682200000003,-83.893180900000004,208.00000
"fishers, IN, US",39.955592799999998,-86.013872899999996,251.00000
"millersville, TN, US",36.371160500000002,-86.709996599999997,169.00000
"port murray, NJ, US",40.785654899999997,-74.916002500000005,183.00000
"prescott/prescott valley, AZ, US",34.560400000000001,-112.261397000000002,1439.00000
"hartville, MO, US",37.250883799999997,-92.510444699999994,365.00000
"sidney, MI, US",43.250031700000001,-85.133074600000000,276.00000
"angwin, CA, US",38.578355500000001,-122.448651545454993,536.00000
"maryville, TN, US",38.723659400000003,-89.955934799999994,173.00000
"levasy, MO, US",39.135562700000001,-94.133001399999998,218.00000
"montpelier, VT, US",44.260444999999997,-72.575683999999995,173.00000
"hampden, ME, US",44.744515900000003,-68.836982000000006,29.00000
"littlefield, TX, US",33.917314800000000,-102.324902199999997,1086.00000
"brackettville, TX, US",29.310512500000002,-100.417856299999997,344.00000
"santa anna, CA, US",31.742116700000000,-99.323151300000006,532.00000
"voorhees, NJ, US",39.841634999999997,-74.937685407556302,41.00000
"eatonville, WA, US",46.868251600000001,-122.270068100000003,249.00000
"vine grove, KY, US",37.810067400000001,-85.981352400000006,211.00000
"san gabriel, TX, US",34.099132500000003,-118.108604099999994,134.00000
"riverdale, UT, US",41.179192399999998,-111.992992099999995,1332.00000
"topanga, CA, US",34.090816500000003,-118.597019599999996,382.00000
"whitney, TX, US",36.088532100000002,-115.037212999999994,507.00000
"marietta, PA, US",45.008296999999999,-96.417551000000003,343.00000
"dugas, AZ, US",34.361973399999997,-111.978487400000006,1213.00000
"joseph, UT, US",38.626360800000000,-112.217149599999999,1661.00000
"pomeroy, OH, US",46.474873799999997,-117.602689600000005,604.00000
"salem, CT, US",41.490376099999999,-72.275358999999995,105.00000
"auburn hills, MI, US",39.288104150000002,-94.569084904608999,324.00000
"searcy, AR, US",35.250640599999997,-91.736248799999998,82.00000
"batavia, NY, US",42.998014400000002,-78.187551499999998,273.00000
"maywood, CA, US",41.879197900000001,-87.843115499999996,194.00000
"washington, IL, US",38.366280600000003,-89.420190199999993,142.00000
"angola, IN, US",41.634874000000003,-84.999279999999999,320.00000
"willowick, OH, US",41.633102999999998,-81.468727000000001,189.00000
"puxico, MO, US",36.949774599999998,-90.158434099999994,115.00000
"tyro, NC, US",37.037853100000000,-95.821368600000000,281.00000
"coweta, OK, US",35.951767400000001,-95.650813999999997,196.00000
"rockland, ME, US",44.104351999999999,-69.108124000000004,11.00000
"florida, NY, US",41.331760699999997,-74.356819999999999,127.00000
"pie town, NM, US",34.299643099999997,-108.132542400000006,2377.00000
"tabor, IA, US",40.898332900000000,-95.671389199999993,382.00000
"bellefonte, PA, US",40.913486200000001,-77.773747099999994,275.00000
"limerick, ME, US",43.688411199999997,-70.793671900000007,178.00000
"felton, CA, US",39.854159699999997,-76.564970700000003,187.00000
"three rivers, MA, US",42.102731400000003,-72.578198200000003,51.00000
"bethel, ME, US",44.404353999999998,-70.791092000000006,224.00000
"verona, NY, US",43.138322000000002,-75.570830999999998,154.00000
"charleston afb, SC, US",32.900420650000001,-80.051423299510105,12.00000
"copalis beach, WA, US",47.112585699999997,-124.173787899999994,11.00000
"wheeling, IL, US",42.125089500000001,-87.929280672997606,200.00000
"frankfort, NY, US",43.038958999999998,-75.070436000000001,127.00000
"spring grove, MN, US",43.561079900000003,-91.635978699999995,400.00000
"au sable forks, NY, US",44.441713999999997,-73.674583400000003,181.00000
"strattanville, PA, US",41.202285799999999,-79.327542600000001,456.00000
"plum grove, TX, US",30.214657700000000,-95.094931099999997,34.00000
"bridgeport, OH, US",40.069794700000003,-80.740082700000002,231.00000
"comstock, MI, US",46.659407000000002,-96.748413999999997,279.00000
"herkimer, NY, US",43.491132600000000,-74.948125200000007,597.00000
"sunol, CA, US",37.594378100000000,-121.888568300000003,79.00000
"pyramid lake, NV, US",40.027634800000001,-119.569836067289998,1165.00000
"na, OH, US",51.473563100000000,7.241368946806460,
"liberty hill, TX, US",30.664911900000000,-97.922516099999996,318.00000
"middle island, NY, US",40.622059600000000,-73.518542100000005,1.00000
"germantown/farmersville, OH, US",39.676130000000001,-84.418858999999998,252.00000
"wartrace, TN, US",35.527295400000000,-86.333604300000005,248.00000
"monroeville, NJ, US",40.421179799999997,-79.788102499999994,364.00000
"converse, IN, US",40.577911399999998,-85.872617300000002,255.00000
"wildomar, CA, US",33.593937199999999,-117.241498899999996,397.00000
"flowood, MS, US",32.309590300000004,-90.138975700000003,87.00000
"wallingford, VT, US",43.319681600000003,-94.792761999999996,398.00000
"mastic beach, NY, US",40.766765499999998,-72.852047600000006,6.00000
"lee summit, MO, US",33.482799000000000,-89.731415197856293,129.00000
"darien center, NY, US",42.901170899999997,-78.388631200000006,309.00000
"jackson, KY, US",37.553474100000003,-83.382260400000007,244.00000
"harleysville, PA, US",40.278782999999997,-75.386637749729900,90.00000
"white hall, AR, US",34.273986200000003,-92.090976600000005,88.00000
"north andover, MA, US",42.698702400000002,-71.135057500000002,22.00000
"whitley city, KY, US",36.723411800000001,-84.470494200000005,406.00000
"swiss, MO, US",38.562824700000000,-91.471272900000002,274.00000
"kilgore, OH, US",42.938339399999997,-100.955704699999998,888.00000
"mount clemens, MI, US",42.597256299999998,-82.877975399999997,184.00000
"whitesboro, TX, US",43.122036000000001,-75.291709999999995,127.00000
"orland/tinley park, IL, US",41.557704299999997,-87.851195899999993,222.00000
"ashley, IL, US",38.329494199999999,-89.190909700000006,165.00000
"emison, IN, US",38.805045999999997,-87.458075100000002,142.00000
"hawthorne/lawndale, CA, US",33.887928299999999,-118.352738799999997,20.00000
"sulphur, LA, US",34.507866900000003,-96.968349799999999,296.00000
"dexter, KS, US",42.338369700000001,-83.888555299999993,265.00000
"st marie, CA, US",48.402245800000003,-106.532815700000000,835.00000
"brohman, MI, US",43.685294300000002,-85.815889900000002,293.00000
"orland hills, IL, US",41.585310700000001,-87.843107799999999,217.00000
"palm wells, CA, US",34.077787299999997,-116.539458400000001,842.00000
"prescott, AR, US",33.802610700000002,-93.381005700000003,102.00000
"wilburton, OK, US",34.918702300000000,-95.309780700000005,228.00000
"mckeesport, PA, US",40.347847199999997,-79.864215000000002,231.00000
"hampden, MA, US",42.128531500000001,-72.606344100000001,58.00000
"bluepoint, NY, US",40.657514999999997,-73.517533999999998,5.00000
"miramar, FL, US",25.975911450000002,-80.334721281152198,6.00000
"columbia, PA, US",31.292676199999999,-85.111596500000005,57.00000
"reading, OH, US",39.223669399999999,-84.442164099999999,180.00000
"purvis, MS, US",31.144335099999999,-89.406954999999996,113.00000
"pinehurst, NC, US",35.194623499999999,-79.467931699999994,155.00000
"ashburn, VA, US",39.043719199999998,-77.487489900000000,90.00000
"west greenwich, RI, US",41.622618500000002,-71.665789200000006,149.00000
"spring lake, MI, US",43.076962999999999,-86.196996999999996,177.00000
"boyd, TX, US",44.951908799999998,-91.034865600000003,338.00000
"logan, WV, US",41.731344700000001,-111.834863100000007,1384.00000
"park ridge, IL, US",42.011141199999997,-87.840619200000006,199.00000
"brandford, FL, US",29.633583200000000,-83.126319699999996,24.00000
"stoughton, WI, US",42.916738899999999,-89.217899700000004,260.00000
"locust fork, AL, US",33.886251999999999,-86.632489333437704,189.00000
"shaker, OH, US",41.520964800000002,-83.657297900000003,196.00000
"thornton, TX, US",41.572581100000001,-87.609528100000006,187.00000
"bois d'arc, MO, US",37.256438199999998,-93.507695999999996,373.00000
"moravia, TX, US",42.712570200000002,-76.421602500000006,232.00000
"gilmer, TX, US",32.728747200000001,-94.942437900000002,109.00000
"oakwood, GA, US",41.365333000000000,-81.507896000000002,322.00000
"manhattan, IL, US",39.183608200000002,-96.571669400000005,316.00000
"east aurora, NY, US",42.768914100000003,-78.617761099999996,281.00000
"embden, ME, US",44.918113699999999,-69.866724300000001,100.00000
"spring city, PA, US",40.176766999999998,-75.547680299999996,67.00000
"mount cobb, PA, US",41.408971800000003,-75.497406900000001,521.00000
"peotone, IL, US",41.332255400000001,-87.785321699999997,221.00000
"agoura hills, CA, US",34.136394500000002,-118.774534799999998,536.00000
"san acacio, CO, US",37.213096299999997,-105.565073200000000,2357.00000
"forest city, NC, US",41.651472200000001,-75.466571900000005,503.00000
"clanton, AL, US",32.838737100000003,-86.629426199999997,179.00000
"eatonton, GA, US",33.326799700000002,-83.388496099999998,173.00000
"wayland, MA, US",42.363206300000002,-71.360672100000002,41.00000
"hampton bays, NY, US",40.868989200000001,-72.517589299999997,17.00000
"perrysburg, NY, US",42.456449999999997,-79.001981000000001,383.00000
"marlborough, MA, US",42.345927099999997,-71.552287399999997,140.00000
"brecksville, OH, US",41.319776300000001,-81.626790400000004,272.00000
"porterville, CT, US",36.065230000000000,-119.016767900000005,143.00000
"maquoketa, IA, US",42.068908800000003,-90.665691400000000,216.00000
"cathlamet, WA, US",46.203167299999997,-123.383189299999998,0.00000
"west allis, WI, US",43.016680600000001,-88.007031499999997,224.00000
"west columbia, TX, US",33.993486699999998,-81.073982599999994,86.00000
"tallmadge, OH, US",41.101461600000000,-81.441798899999995,345.00000
"terrebone, OR, US",44.350681999999999,-121.173039877369007,859.00000
"kern, TX, US",27.863503800000000,-97.666982899999994,23.00000
"glencoe, IL, US",29.030235000000001,-80.991786867056803,13.00000
"new buffalo, MI, US",41.795256199999997,-86.744452600000002,194.00000
"winter garden, FL, US",28.550268500000001,-81.592597460859594,40.00000
"gackle, ND, US",46.625810999999999,-99.142054000000002,590.00000
"union, SC, US",40.974549300000000,-77.078594499999994,241.00000
"fruitport, MI, US",43.130670000000002,-86.154681999999994,193.00000
"hopatcong, NJ, US",40.933205100000002,-74.660097500000006,313.00000
"chalybeate springs, AL, US",34.565092999999997,-87.226684899999995,237.00000
"hancock, MA, US",42.543137999999999,-73.323718200000002,396.00000
"minooka, IL, US",41.455308400000000,-88.261730499999999,188.00000
"london, OH, US",39.886449300000002,-83.448252999999994,320.00000
"vya, NV, US",41.589702899999999,-119.858864999999994,1707.00000
"mint hill, NC, US",35.179589200000002,-80.647290400000003,237.00000
"west lebanon, NH, US",40.270036900000001,-87.386679999999998,217.00000
"gering, NE, US",41.825905900000002,-103.660542899999996,1193.00000
"fresh pond, CA, US",38.760181400000000,-120.529924800000003,1039.00000
"miami gardens, FL, US",25.942075450000001,-80.239752809955306,9.00000
"girard township, PA, US",41.994120000000002,-80.357457075262502,224.00000
"keokuk, IA, US",40.397342299999998,-91.385202000000007,175.00000
"middleburg hts, OH, US",41.361440100000003,-81.812911999999997,257.00000
"bryceville, FL, US",30.384682099999999,-81.938719500000005,28.00000
"san francisco, CT, US",37.779280800000002,-122.419236299999994,29.00000
"galesburg, MI, US",42.288652900000002,-85.418056000000007,245.00000
"white bird, ID, US",45.761933499999998,-116.300507800000005,536.00000
"endicott-vestal, NY, US",42.082296999999997,-76.031034199999993,368.00000
"sunol/pleasanton, CA, US",37.639339300000003,-121.885564500000001,99.00000
"oakforest, IL, US",35.739601899999997,-77.943596200000002,50.00000
"fort belvoir, VA, US",38.710738499999998,-77.143676276561905,30.00000
"wiseman's view, NC, US",35.903866000000001,-81.904839499999994,913.00000
"leet, PA, US",40.571025800000001,-80.217124200000001,292.00000
"tracy city, TN, US",35.260356899999998,-85.736083300000004,563.00000
"north phoenix, AZ, US",32.258114200000001,-109.835683200000005,1273.00000
"chuluota, FL, US",28.567201900000001,-81.127308799999994,25.00000
"laurel, MT, US",38.556504099999998,-75.571314099999995,9.00000
"cowiche, WA, US",46.669846900000003,-120.712293500000001,532.00000
"bainbridge, NY, US",42.293515200000002,-75.479259200000001,310.00000
"holiday, FL, US",28.187754999999999,-82.741608070739304,6.00000
"mountainview, CA, US",33.920961100000000,-84.466326600000002,319.00000
"east patchogue, NY, US",40.767042699999998,-72.996218900000002,6.00000
"nisqually, WA, US",47.056485500000001,-122.701241699999997,9.00000
"max, ND, US",47.821114000000001,-101.298770000000005,641.00000
"lavina, MT, US",46.294680499999998,-108.937935199999998,1045.00000
"barnesville, PA, US",39.988126100000002,-81.176496099999994,382.00000
"aitkin, MN, US",46.533012999999997,-93.710249300000001,367.00000
"canyon lake, AZ, US",33.552914899999998,-111.442292300000005,653.00000
"indian shores, FL, US",27.862801000000001,-82.848437300000001,0.00000
"oswego, IL, US",41.678993200000001,-88.355021600000001,198.00000
"idalou, TX, US",33.666473300000000,-101.682942400000002,973.00000
"twelve mile, IN, US",40.866429900000000,-86.225274999999996,245.00000
"wading river, NY, US",40.950376200000001,-72.842601599999995,29.00000
"ardmore, PA, US",34.174261100000003,-97.143625400000005,272.00000
"gatesville, NC, US",31.435164499999999,-97.743910999999997,253.00000
"reedsville, WV, US",44.153607100000002,-87.956760099999997,253.00000
"plymouth, VT, US",41.942665699999999,-70.761859200000004,44.00000
"kingman, KS, US",35.189442999999997,-114.053006499999995,1021.00000
"sunbright, TN, US",36.243409300000003,-84.669944200000003,432.00000
"wellington, FL, US",26.637998750000001,-80.255907808685805,10.00000
"burlington, IN, US",44.472398900000002,-73.211494099999996,68.00000
"cartersville, GA, US",34.165097199999998,-84.799938299999994,232.00000
"tecumseh, MI, US",42.003933099999998,-83.944941700000001,246.00000
"willow river, MN, US",46.318279400000002,-92.841311599999997,316.00000
"alstead, NH, US",43.149093999999998,-72.360764000000003,165.00000
"rockyface, GA, US",35.588717400000000,-82.780689100000004,1259.00000
"fairview, NC, US",42.204259000000000,-72.574533099999996,77.00000
"lewes, DE, US",38.774556500000003,-75.139349800000005,2.00000
"copley, OH, US",41.098943900000002,-81.644568500000005,312.00000
"benton city, WA, US",46.263189699999998,-119.487802000000002,146.00000
"branchville, SC, US",41.146485200000001,-74.752387400000003,171.00000
"orrville, OH, US",32.306250499999997,-87.245549199999999,62.00000
"fort smith, CA, US",45.313281500000002,-107.926215980682997,973.00000
"girard, MI, US",42.029491700000001,-85.001357299999995,291.00000
"plattsburg, NY, US",44.692819999999998,-73.455619999999996,51.00000
"biggs, CA, US",39.412387600000002,-121.712751299999994,29.00000
"polkville, NC, US",35.417627799999998,-81.642872499999996,319.00000
"rockport, TX, US",28.020573299999999,-97.054434099999995,6.00000
"wilmette, IL, US",42.075731500000003,-87.719376800000006,191.00000
"celoron, NY, US",42.109501999999999,-79.283103999999994,406.00000
"coalville, IA, US",42.441448250000001,-94.118941689058204,337.00000
"king, NC, US",36.280693999999997,-80.359219699999997,330.00000
"pittsburg, NH, US",38.018174500000001,-121.890123200000005,15.00000
"arbuckle/college city, CA, US",39.034431800000000,-122.015787300000000,13.00000
"west haven, CT, US",41.270652699999999,-72.947047100000006,7.00000
"higgins lake, MI, US",44.483626700000002,-84.779752900000005,357.00000
"waterford, PA, US",37.641320200000003,-120.760483399999998,52.00000
"newton, IL, US",42.337041399999997,-71.209221400000004,47.00000
"neosho, MO, US",36.850586000000000,-94.387783709901996,371.00000
"paola, KS, US",38.572331800000001,-94.878648400000003,281.00000
"columbus, MT, US",39.962260100000002,-83.000706500000007,238.00000
"peshastin, WA, US",47.571815700000002,-120.605889199999993,327.00000
"honey grove, TX, US",33.583437699999998,-95.909968100000000,212.00000
"hudsonville, MI, US",42.870888999999998,-85.865234999999998,195.00000
"havre de grace, MD, US",39.548996400000000,-76.091471799999994,6.00000
"morton, IL, US",40.612734900000000,-89.459322999999998,221.00000
"bovina, TX, US",34.513682299999999,-102.882997700000004,1243.00000
"goldbar, WA, US",47.854176600000002,-121.681477099999995,64.00000
"walton, NY, US",42.169529599999997,-75.129335100000006,376.00000
"williamsport, MD, US",39.600652300000000,-77.820550800000007,117.00000
"tipton, MO, US",38.655577999999998,-92.779915299999999,284.00000
"kayenta, AZ, US",36.717953999999999,-110.260601300000005,1748.00000
"kemah, TX, US",29.542729699999999,-95.020483700000000,5.00000
"park city, UT, US",40.646063499999997,-111.497974099999993,2200.00000
"st. francis, KS, US",42.967515599999999,-87.877582700000005,208.00000
"chester, WV, US",42.279255100000000,-72.978712000000002,203.00000
"tujunga, CA, US",34.252225000000003,-118.288410499999998,558.00000
"port elizabeth, NJ, US",39.313448100000002,-74.981007899999994,8.00000
"brunswick, GA, US",34.286835600000003,-78.701127499999998,23.00000
"monmouth beach, NJ, US",40.330388300000003,-73.981526200000005,0.00000
"mondel, NM, US",32.261747999999997,-108.914500500000003,1266.00000
"newborn, GA, US",33.516098999999997,-83.694614000000001,223.00000
"upper black eddy, PA, US",40.565379499999999,-75.099616999999995,79.00000
"adamsville, OH, US",40.069792499999998,-81.882354199999995,298.00000
"tipp city, OH, US",39.958389199999999,-84.172163800000007,250.00000
"farmers, KY, US",38.142859100000003,-83.546021100000004,205.00000
"bowleys quarters, MD, US",39.316059500000001,-76.382336332062906,3.00000
"granton, WI, US",44.588851200000001,-90.461246900000006,341.00000
"gaithersberg, MD, US",39.143440599999998,-77.201370499999996,147.00000
"talbott, TN, US",36.152590300000000,-83.415172299999995,375.00000
"corsica, PA, US",41.181175300000000,-79.202261800000002,489.00000
"caliham, TX, US",28.473383349999999,-98.344773950606196,70.00000
"east bay, CA, US",38.156964000000002,-121.027007999999995,81.00000
"bellevue/redmond, WA, US",47.627765099999998,-122.137695800000003,103.00000
"fountain inn, SC, US",34.689009499999997,-82.195667900000004,261.00000
"saybrook, OH, US",40.426700500000003,-88.526171099999999,243.00000
"wantage, NJ, US",41.244261700000003,-74.550715600000004,123.00000
"thetford, VT, US",43.810592999999997,-72.267773000000005,186.00000
"gibsonton, FL, US",27.828260000000000,-82.371878563360298,8.00000
"garden city, NY, US",40.726647700000001,-73.634305200000000,31.00000
"montague, NJ, US",42.535642600000003,-72.535088000000002,72.00000
"washington, IN, US",42.365920000000003,-73.116213999999999,447.00000
"piedmont, SC, US",39.480370600000001,-79.047807300000002,327.00000
"malvern, IA, US",41.002775999999997,-95.585278000000002,307.00000
"westphalia, IN, US",38.819891800000001,-76.833716400000000,75.00000
"new carrollton, MD, US",38.969832900000000,-76.879972699999996,37.00000
"woodside, NY, US",40.745379800000002,-73.905414500000006,28.00000
"cedar falls, IA, US",42.527412300000002,-92.445317900000006,275.00000
"melba, ID, US",43.375440500000003,-116.529011600000004,810.00000
"franklin, NE, US",40.171523399999998,-98.968758500000007,647.00000
"new hartford, CT, US",41.882318699999999,-72.977048800000006,137.00000
